ID,Age,Service,Grade_Score,Job_Family
97,33,14,4,Maintenance Engineer
98,35,14,3,Manufacturing Engineering
99,34,14,4,Facility Engineer
100,38,14,3,Craft Engineer Specialist
101,59,14,3,Craft Engineer Specialist
102,30,14,6,Principal Asset Engineer
103,74,13,4,Manufacturing Engineering
104,31,13,6,Manufacturing Engineering
105,42,13,6,Facility Engineer
106,51,13,5,Facility Engineer
107,51,13,5,Facility Engineer
108,67,13,4,Manufacturing Engineering
109,57,13,4,Facility Engineer
110,56,13,5,Facility Engineer
111,55,13,6,Principal Asset Engineer
112,41,13,3,Manufacturing Engineering
113,64,13,5,Facility Engineer
114,32,12,5,Configuration Management
115,32,13,4,Facility Engineer
116,52,13,5,Facility Engineer
117,54,13,3,Craft Engineer Specialist
118,39,13,2,Craft Engineer Practitioner
119,36,13,4,Manufacturing Engineering
120,25,13,2,Craft Engineer Practitioner
121,34,13,4,Maintenance Engineer
122,36,13,2,Craft Engineer Practitioner
123,23,13,3,Craft Engineer Specialist
124,38,13,4,Maintenance Engineer
125,37,13,5,Facility Engineer
126,34,13,4,Facility Engineer
127,31,13,4,Manufacturing Engineering
128,20,13,3,Craft Engineer Specialist
129,38,13,6,Manufacturing Engineering
130,39,13,3,Craft Engineer Specialist
131,48,12,5,Facility Engineer
132,65,12,4,Maintenance Planner
133,46,12,6,Maintenance Engineer
134,46,12,6,Principal Asset Engineer
135,51,10,6,Principal Asset Engineer
136,38,12,5,Facility Engineer
137,33,12,5,Configuration Management
138,66,12,2,Craft Engineer Practitioner
139,52,12,2,Craft Engineer Practitioner
140,32,12,4,Facility Engineer
141,28,12,4,Maintenance Engineer
142,32,12,2,Craft Engineer Practitioner
143,21,12,4,Facility Engineer
144,33,12,3,Craft Engineer Specialist
145,23,12,3,Craft Engineer Specialist
146,32,12,3,Craft Engineer Specialist
147,28,12,4,Facility Engineer
148,24,12,3,Craft Engineer Specialist
149,39,12,3,Facility Engineer
150,35,12,4,Maintenance Engineer
151,36,12,3,Craft Engineer Specialist
152,32,12,3,Craft Engineer Specialist
153,39,12,2,Craft Engineer Practitioner
154,21,12,3,Craft Engineer Specialist
155,25,12,4,Maintenance Engineer
156,27,12,2,Craft Engineer Practitioner
157,60,12,4,Manufacturing Engineering
158,57,12,3,Craft Engineer Specialist
159,32,11,4,Facility Engineer
160,39,11,4,Maintenance Planner
161,37,11,5,Manufacturing Engineering
162,50,11,3,Craft Engineer Specialist
163,46,11,3,Craft Engineer Specialist
164,44,11,3,Craft Engineer Specialist
165,32,11,5,Facility Engineer
166,23,11,4,Facility Engineer
167,21,11,2,Craft Engineer Practitioner
168,20,11,4,Facility Engineer
169,28,11,2,Craft Engineer Practitioner
170,25,11,2,Craft Engineer Practitioner
171,38,11,3,Craft Engineer Specialist
172,20,11,3,Craft Engineer Specialist
173,35,11,4,Facility Engineer
174,25,10,2,Craft Engineer Practitioner
175,42,10,4,Manufacturing Engineering
176,30,10,6,Manufacturing Engineering
177,32,10,5,Manufacturing Engineering
178,35,10,5,Manufacturing Engineering
179,31,10,4,Manufacturing Engineering
180,33,10,6,Manufacturing Engineering
181,36,10,6,Manufacturing Engineering
182,34,10,6,Manufacturing Engineering
183,64,10,6,Manufacturing Engineering
184,38,10,6,Manufacturing Engineering
185,34,10,5,Manufacturing Engineering
186,36,10,3,Craft Engineer Specialist
187,23,10,2,Craft Engineer Practitioner
188,22,10,4,Manufacturing Engineering
189,23,10,2,Craft Engineer Practitioner
190,33,10,2,Craft Engineer Practitioner
191,36,10,3,Craft Engineer Specialist
192,33,10,3,Craft Engineer Specialist
193,31,10,2,Craft Engineer Practitioner
194,28,10,3,Craft Engineer Specialist
195,26,10,3,Craft Engineer Specialist
196,23,10,3,Craft Engineer Specialist
197,25,10,2,Craft Engineer Practitioner
198,23,10,2,Craft Engineer Practitioner
199,32,10,4,Manufacturing Engineering
200,31,10,4,Maintenance Planner
201,32,9,4,Manufacturing Engineering
202,53,38,6,Principal Asset Engineer
203,59,40,4,Facility Engineer
204,69,26,5,Facility Engineer
205,47,26,4,Maintenance Planner
206,63,36,2,Maintenance Planner
207,66,27,2,Craft Engineer Practitioner
208,66,34,5,Facility Engineer
209,69,25,4,Maintenance Planner
210,68,24,5,Facility Engineer
211,51,35,4,Maintenance Engineer
212,53,35,5,Facility Engineer
213,54,33,5,Maintenance Engineer
214,55,23,5,Facility Engineer
215,47,23,6,Manufacturing Engineering
216,55,41,4,Maintenance Engineer
217,54,22,6,Manufacturing Engineering
218,40,21,7,Manufacturing Engineering
219,49,21,7,Manufacturing Engineering
220,47,21,5,Manufacturing Engineering
221,55,21,5,Facility Engineer
222,47,28,4,Facility Engineer
223,68,21,4,Manufacturing Engineering
224,45,21,5,Facility Engineer
225,68,39,4,Facility Engineer
226,59,15,5,Facility Engineer
227,42,13,6,Facility Engineer
228,45,21,5,Facility Engineer
229,50,20,7,Manufacturing Engineering
230,57,20,4,Facility Engineer
231,52,20,4,Manufacturing Engineering
232,53,37,5,Maintenance Engineer
233,59,33,5,Facility Engineer
234,52,35,5,Maintenance Engineer
235,55,35,5,Maintenance Engineer
236,41,20,6,Manufacturing Engineering
237,41,20,6,Principal Asset Engineer
238,60,20,4,Maintenance Engineer
239,42,19,6,Manufacturing Engineering
240,41,28,4,Facility Engineer
241,54,27,6,Principal Asset Engineer
242,49,19,4,Facility Engineer
243,57,19,4,Manufacturing Engineering
244,65,35,2,Craft Engineer Practitioner
245,52,35,2,Craft Engineer Practitioner
246,48,32,3,Craft Engineer Specialist
247,46,28,5,Maintenance Planner
248,49,27,5,Maintenance Engineer
249,33,23,3,Craft Engineer Specialist
250,32,20,5,Maintenance Engineer
251,66,46,4,Maintenance Engineer
252,55,10,6,Manufacturing Engineering
253,52,33,5,Facility Engineer
254,69,25,3,Craft Engineer Specialist
255,55,18,4,Facility Engineer
256,46,23,5,Facility Engineer
257,49,21,3,Craft Engineer Specialist
258,38,11,4,Facility Engineer
259,65,20,3,Craft Engineer Specialist
260,38,20,5,Maintenance Engineer
261,66,45,2,Craft Engineer Practitioner
262,41,32,3,Craft Engineer Specialist
263,47,28,6,Facility Engineer
264,57,23,3,Craft Engineer Specialist
265,44,22,4,Facility Engineer
266,47,22,3,Craft Engineer Specialist
267,40,27,4,Maintenance Engineer
268,30,20,3,Craft Engineer Specialist
269,67,39,3,Craft Engineer Specialist
270,55,39,4,Facility Engineer
271,50,36,4,Maintenance Engineer
272,52,35,4,Maintenance Engineer
273,46,34,4,Facility Engineer
274,51,33,3,Craft Engineer Specialist
275,41,29,6,Principal Asset Engineer
276,49,26,4,Manufacturing Engineering
277,47,23,5,Facility Engineer
278,42,14,4,Facility Engineer
279,54,36,3,Craft Engineer Specialist
280,40,29,3,Craft Engineer Specialist
281,50,35,5,Facility Engineer
282,39,21,3,Craft Engineer Specialist
283,37,21,5,Maintenance Engineer
284,64,17,3,Craft Engineer Specialist
285,68,29,2,Craft Engineer Practitioner
286,50,31,5,Facility Engineer
287,49,22,7,Manufacturing Engineering
288,61,20,3,Craft Engineer Specialist
289,35,20,5,Maintenance Planner
290,44,29,4,Manufacturing Engineering
291,45,21,4,Maintenance Engineer
292,64,37,2,Craft Engineer Practitioner
293,47,30,5,Facility Engineer
294,45,9,5,Maintenance Engineer
295,35,22,4,Facility Engineer
296,43,21,5,Facility Engineer
297,45,21,2,Craft Engineer Practitioner
298,35,21,5,Facility Engineer
299,58,38,2,Craft Engineer Practitioner
300,54,13,3,Craft Engineer Specialist
301,45,25,5,Maintenance Planner
302,45,20,5,Facility Engineer
303,38,20,3,Craft Engineer Specialist
304,50,34,3,Maintenance Engineer
305,48,30,4,Manufacturing Engineering
306,43,30,2,Craft Engineer Practitioner
307,64,27,3,Craft Engineer Specialist
308,47,26,5,Facility Engineer
309,48,24,5,Facility Engineer
310,54,22,5,Maintenance Engineer
311,53,20,5,Manufacturing Engineering
312,57,42,3,Craft Engineer Specialist
313,58,41,3,Craft Engineer Specialist
314,38,9,5,Facility Engineer
315,28,9,4,Maintenance Engineer
316,30,9,5,Manufacturing Engineering
317,45,9,3,Craft Engineer Specialist
318,66,9,2,Craft Engineer Practitioner
319,34,9,4,Facility Engineer
320,35,9,5,Manufacturing Engineering
321,22,9,3,Craft Engineer Specialist
322,27,9,2,Craft Engineer Practitioner
323,28,9,3,Craft Engineer Specialist
324,26,9,3,Craft Engineer Specialist
325,23,9,2,Craft Engineer Practitioner
326,22,9,3,Craft Engineer Specialist
327,24,9,2,Craft Engineer Practitioner
328,24,9,2,Craft Engineer Practitioner
329,38,9,6,Manufacturing Engineering
330,34,9,5,Manufacturing Engineering
331,51,9,5,Facility Engineer
332,50,8,5,Facility Engineer
333,58,8,3,Craft Engineer Specialist
334,30,8,5,Maintenance Planner
335,44,8,3,Maintenance Planner
336,33,8,5,Facility Engineer
337,58,8,4,Facility Engineer
338,40,8,6,Manufacturing Engineering
339,41,8,4,Maintenance Engineer
340,34,8,4,Maintenance Planner
341,46,8,5,Facility Engineer
342,32,8,5,Configuration Management
343,30,8,5,Manufacturing Engineering
344,36,8,3,Craft Engineer Specialist
345,33,8,5,Manufacturing Engineering
346,68,8,3,Craft Engineer Specialist
347,49,8,4,Maintenance Planner
348,62,8,3,Maintenance Planner
349,37,8,2,Craft Engineer Practitioner
350,50,8,6,Principal Asset Engineer
351,36,8,5,Maintenance Engineer
352,32,8,5,Facility Engineer
353,25,8,2,Craft Engineer Practitioner
354,20,8,2,Craft Engineer Practitioner
355,20,8,2,Craft Engineer Practitioner
356,35,8,2,Craft Engineer Practitioner
357,30,8,3,Craft Engineer Specialist
358,35,8,3,Facility Engineer
359,27,8,2,Craft Engineer Practitioner
360,33,8,3,Craft Engineer Specialist
361,27,8,2,Craft Engineer Practitioner
362,31,8,2,Craft Engineer Practitioner
363,26,8,2,Craft Engineer Practitioner
364,26,8,2,Craft Engineer Practitioner
365,27,8,2,Craft Engineer Practitioner
366,23,8,2,Craft Engineer Practitioner
367,23,8,2,Craft Engineer Practitioner
368,21,8,2,Craft Engineer Practitioner
369,26,8,2,Craft Engineer Practitioner
370,39,8,2,Craft Engineer Practitioner
371,26,8,2,Craft Engineer Practitioner
372,34,2,5,Facility Engineer
373,39,8,5,Manufacturing Engineering
374,38,8,6,Manufacturing Engineering
375,35,3,5,Maintenance Planner
376,52,7,4,Facility Engineer
377,59,7,5,Manufacturing Engineering
378,66,7,5,Facility Engineer
379,31,7,5,Manufacturing Engineering
380,54,7,2,Craft Engineer Practitioner
381,52,7,5,Facility Engineer
382,32,7,5,Manufacturing Engineering
383,32,7,3,Maintenance Planner
384,43,7,5,Manufacturing Engineering
385,31,7,5,Manufacturing Engineering
386,74,7,5,Facility Engineer
387,42,7,5,Manufacturing Engineering
388,59,7,3,Craft Engineer Specialist
389,43,7,6,Facility Engineer
390,53,7,3,Maintenance Planner
391,33,7,3,Maintenance Planner
392,33,7,6,Manufacturing Engineering
393,64,7,3,Maintenance Planner
394,50,7,5,Maintenance Engineer
395,53,7,4,Manufacturing Engineering
396,39,7,6,Manufacturing Engineering
397,33,7,3,Craft Engineer Specialist
398,21,7,2,Craft Engineer Practitioner
399,28,7,2,Craft Engineer Practitioner
400,27,7,2,Craft Engineer Practitioner
401,20,7,2,Craft Engineer Practitioner
402,34,7,2,Craft Engineer Practitioner
403,28,7,4,Facility Engineer
404,27,7,2,Craft Engineer Practitioner
405,20,7,2,Craft Engineer Practitioner
406,31,7,2,Craft Engineer Practitioner
407,28,7,2,Craft Engineer Practitioner
408,27,7,2,Craft Engineer Practitioner
409,27,7,4,Facility Engineer
410,24,7,2,Craft Engineer Practitioner
411,21,7,2,Craft Engineer Practitioner
412,24,7,2,Craft Engineer Practitioner
413,21,7,2,Craft Engineer Practitioner
414,23,7,2,Craft Engineer Practitioner
415,32,7,2,Craft Engineer Practitioner
416,34,7,2,Craft Engineer Practitioner
417,20,7,2,Craft Engineer Practitioner
418,21,7,2,Craft Engineer Practitioner
419,20,6,2,Craft Engineer Practitioner
420,67,7,6,Principal Asset Engineer
421,34,7,5,Manufacturing Engineering
422,22,7,5,Manufacturing Engineering
423,29,7,4,Facility Engineer
424,38,7,4,Manufacturing Engineering
425,46,7,3,Craft Engineer Specialist
426,33,6,6,Principal Asset Engineer
427,34,6,5,Manufacturing Engineering
428,57,6,6,Engineering Management
429,60,6,2,Craft Engineer Practitioner
430,37,6,3,Maintenance Planner
431,72,6,5,Facility Engineer
432,51,6,6,Principal Asset Engineer
433,42,6,6,Principal Asset Engineer
434,62,6,4,Facility Engineer
435,65,6,5,Facility Engineer
436,66,6,5,Facility Engineer
437,57,6,5,Facility Engineer
438,56,6,4,Manufacturing Engineering
439,48,6,4,Facility Engineer
440,58,6,5,Manufacturing Engineering
441,38,6,5,Manufacturing Engineering
442,56,6,5,Facility Engineer
443,35,4,4,Manufacturing Engineering
444,41,6,6,Principal Asset Engineer
445,54,6,4,Facility Engineer
446,43,6,4,Maintenance Engineer
447,59,6,4,Facility Engineer
448,65,6,2,Craft Engineer Practitioner
449,37,6,4,Maintenance Engineer
450,44,6,3,Craft Engineer Specialist
451,28,6,2,Craft Engineer Practitioner
452,20,6,2,Craft Engineer Practitioner
453,23,6,2,Craft Engineer Practitioner
454,20,6,2,Craft Engineer Practitioner
455,27,6,4,Manufacturing Engineering
456,24,6,2,Craft Engineer Practitioner
457,27,6,2,Craft Engineer Practitioner
458,23,6,2,Craft Engineer Practitioner
459,23,6,4,Manufacturing Engineering
460,24,6,2,Craft Engineer Practitioner
461,25,6,4,Manufacturing Engineering
462,26,6,2,Craft Engineer Practitioner
463,22,6,2,Craft Engineer Practitioner
464,28,6,2,Craft Engineer Practitioner
465,41,6,4,Manufacturing Engineering
466,48,6,4,Maintenance Engineer
467,46,6,6,Manufacturing Engineering
468,55,6,4,Maintenance Engineer
469,39,6,4,Manufacturing Engineering
470,29,6,2,Craft Engineer Practitioner
471,29,6,5,Principal Asset Engineer
472,26,6,4,Manufacturing Engineering
473,26,6,4,Manufacturing Engineering
474,36,6,4,Manufacturing Engineering
475,25,6,5,Manufacturing Engineering
476,35,6,5,Manufacturing Engineering
477,23,6,4,Manufacturing Engineering
478,33,6,4,Manufacturing Engineering
479,21,6,5,Manufacturing Engineering
480,54,6,4,Facility Engineer
481,29,5,6,Manufacturing Engineering
482,59,6,4,Manufacturing Engineering
483,49,5,5,Manufacturing Engineering
484,46,5,3,Craft Engineer Specialist
485,35,5,2,Craft Engineer Practitioner
486,33,5,3,Maintenance Planner
487,35,5,2,Craft Engineer Practitioner
488,45,5,5,Configuration Management
489,68,5,5,Manufacturing Engineering
490,36,5,5,Manufacturing Engineering
491,53,5,5,Configuration Management
492,45,5,7,Engineering Management
493,60,5,4,Engineering Business Specialist
494,67,5,4,Facility Engineer
495,52,0,5,Maintenance Engineer
496,39,5,5,Manufacturing Engineering
497,51,5,3,Craft Engineer Specialist
498,39,4,5,Facility Engineer
499,21,5,3,Craft Engineer Specialist
500,50,5,5,Manufacturing Engineering
501,20,5,6,Manufacturing Engineering
502,20,5,4,Maintenance Planner
503,66,5,5,Facility Engineer
504,66,5,5,Facility Engineer
505,31,2,4,Facility Engineer
506,53,5,5,Configuration Management
507,21,5,1,Craft Engineer Trainee
508,25,5,2,Craft Engineer Practitioner
509,46,5,5,Manufacturing Engineering
510,22,4,4,Manufacturing Engineering
511,22,5,2,Craft Engineer Practitioner
512,24,5,2,Craft Engineer Practitioner
513,29,5,2,Craft Engineer Practitioner
514,21,5,2,Craft Engineer Practitioner
515,31,4,4,Facility Engineer
516,20,5,1,Manufacturing Engineering
517,23,5,2,Craft Engineer Practitioner
518,32,5,1,Manufacturing Engineering
519,22,5,2,Craft Engineer Practitioner
520,25,5,2,Craft Engineer Practitioner
521,29,5,2,Craft Engineer Practitioner
522,26,5,2,Craft Engineer Practitioner
523,25,5,2,Craft Engineer Practitioner
524,21,5,2,Craft Engineer Practitioner
525,29,5,2,Craft Engineer Practitioner
526,24,4,4,Manufacturing Engineering
527,22,4,4,Manufacturing Engineering
528,28,4,4,Manufacturing Engineering
529,28,5,2,Craft Engineer Practitioner
530,21,5,1,Manufacturing Engineering
531,26,4,4,Manufacturing Engineering
532,22,4,5,Manufacturing Engineering
533,24,3,4,Manufacturing Engineering
534,56,4,5,Facility Engineer
535,38,4,4,Facility Engineer
536,28,4,4,Manufacturing Engineering
537,59,4,3,Craft Engineer Specialist
538,52,4,5,Configuration Management
539,32,4,5,Manufacturing Engineering
540,58,4,5,Engineering Business Specialist
541,60,4,5,Facility Engineer
542,44,4,5,Facility Engineer
543,45,4,5,Facility Engineer
544,39,4,4,Manufacturing Engineering
545,68,4,6,Principal Asset Engineer
546,33,4,5,Facility Engineer
547,48,4,4,Maintenance Engineer
548,31,4,5,Facility Engineer
549,30,4,5,Manufacturing Engineering
550,58,4,5,Maintenance Engineer
551,48,4,4,Facility Engineer
552,52,4,4,Manufacturing Engineering
553,44,4,5,Facility Engineer
554,39,4,5,Configuration Management
555,25,4,4,Maintenance Planner
556,61,4,4,Manufacturing Engineering
557,48,4,6,Manufacturing Engineering
558,56,4,3,Maintenance Planner
559,35,4,5,Facility Engineer
560,63,4,4,Facility Engineer
561,44,4,4,Manufacturing Engineering
562,59,4,6,Principal Asset Engineer
563,47,4,5,Manufacturing Engineering
564,31,4,5,Manufacturing Engineering
565,58,4,4,Manufacturing Engineering
566,26,4,5,Manufacturing Engineering
567,69,4,4,Maintenance Engineer
568,55,4,6,Principal Asset Engineer
569,32,4,6,Manufacturing Engineering
570,26,4,4,Manufacturing Engineering
571,39,4,4,Maintenance Engineer
572,63,4,5,Manufacturing Engineering
573,67,4,5,Manufacturing Engineering
574,24,4,3,Maintenance Planner
575,53,3,4,Maintenance Engineer
576,60,4,2,Craft Engineer Practitioner
577,29,4,2,Craft Engineer Practitioner
578,24,4,2,Craft Engineer Practitioner
579,27,4,2,Craft Engineer Practitioner
580,26,4,1,Craft Engineer Trainee
581,22,4,2,Craft Engineer Practitioner
582,27,4,1,Manufacturing Engineering
583,21,4,2,Craft Engineer Practitioner
584,24,4,1,Craft Engineer Trainee
585,28,4,1,Manufacturing Engineering
586,24,4,2,Craft Engineer Practitioner
587,27,4,1,Craft Engineer Trainee
588,23,4,2,Craft Engineer Practitioner
589,25,4,4,Manufacturing Engineering
590,24,3,3,Maintenance Planner
591,25,4,2,Craft Engineer Practitioner
592,19,4,2,Craft Engineer Practitioner
593,17,4,1,Craft Engineer Trainee
594,27,4,4,Manufacturing Engineering
595,32,3,5,Facility Engineer
596,42,3,3,Craft Engineer Specialist
597,37,3,4,Maintenance Engineer
598,58,3,5,Facility Engineer
599,44,3,4,Manufacturing Engineering
600,27,3,4,Manufacturing Engineering
601,58,3,5,Manufacturing Engineering
602,20,3,4,Manufacturing Engineering
603,62,3,2,Craft Engineer Practitioner
604,49,3,4,Maintenance Engineer
605,31,3,4,Facility Engineer
606,52,3,5,Facility Engineer
607,45,3,2,Craft Engineer Practitioner
608,56,3,5,Manufacturing Engineering
609,50,3,2,Craft Engineer Practitioner
610,29,3,3,Manufacturing Engineering
611,36,3,4,Maintenance Planner
612,52,3,5,Maintenance Engineer
613,39,3,6,Principal Asset Engineer
614,20,3,4,Manufacturing Engineering
615,49,3,5,Manufacturing Engineering
616,58,3,5,Manufacturing Engineering
617,63,3,3,Craft Engineer Specialist
618,33,3,3,Maintenance Planner
619,36,3,3,Manufacturing Engineering
620,61,3,5,Maintenance Engineer
621,33,3,4,Manufacturing Engineering
622,31,3,5,Manufacturing Engineering
623,58,3,4,Manufacturing Engineering
624,41,3,4,Facility Engineer
625,60,3,3,Craft Engineer Specialist
626,57,3,4,Manufacturing Engineering
627,22,3,4,Manufacturing Engineering
628,39,3,2,Craft Engineer Practitioner
629,55,3,2,Craft Engineer Practitioner
630,41,3,3,Craft Engineer Specialist
631,52,3,4,Manufacturing Engineering
632,35,3,4,Facility Engineer
633,49,3,3,Craft Engineer Specialist
634,46,3,4,Manufacturing Engineering
635,67,3,5,Facility Engineer
636,22,3,1,Craft Engineer Trainee
637,23,3,2,Craft Engineer Practitioner
638,28,3,1,Craft Engineer Trainee
639,29,3,4,Manufacturing Engineering
640,16,3,1,Craft Engineer Trainee
641,52,3,5,Facility Engineer
642,17,3,1,Craft Engineer Trainee
643,21,3,2,Craft Engineer Practitioner
644,66,3,3,Craft Engineer Specialist
645,39,3,3,Craft Engineer Specialist
646,20,3,1,Craft Engineer Trainee
647,17,3,1,Craft Engineer Trainee
648,27,3,4,Manufacturing Engineering
649,22,3,3,Manufacturing Engineering
650,19,3,1,Craft Engineer Trainee
651,34,3,3,Engineering Management
652,20,3,4,Manufacturing Engineering
653,16,3,1,Craft Engineer Trainee
654,26,3,1,Facility Engineer
655,19,3,1,Craft Engineer Trainee
656,54,3,5,Facility Engineer
657,31,3,4,Manufacturing Engineering
658,27,3,4,Manufacturing Engineering
659,38,3,4,Manufacturing Engineering
660,20,3,4,Manufacturing Engineering
661,22,3,1,Craft Engineer Trainee
662,24,3,1,Craft Engineer Trainee
663,18,3,1,Craft Engineer Trainee
664,26,3,4,Manufacturing Engineering
665,21,3,2,Craft Engineer Practitioner
666,23,3,4,Manufacturing Engineering
667,40,2,2,Craft Engineer Practitioner
668,24,3,1,Craft Engineer Trainee
669,21,3,1,Craft Engineer Trainee
670,51,3,3,Craft Engineer Specialist
671,29,3,3,Manufacturing Engineering
672,22,3,1,Craft Engineer Trainee
673,21,3,1,Craft Engineer Trainee
674,20,3,5,Engineering Business Specialist
675,36,3,6,Manufacturing Engineering
676,27,3,2,Craft Engineer Practitioner
677,17,3,2,Craft Engineer Practitioner
678,21,3,1,Craft Engineer Trainee
679,22,3,4,Manufacturing Engineering
680,25,3,4,Manufacturing Engineering
681,24,3,4,Manufacturing Engineering
682,25,3,4,Engineering Management
683,28,3,4,Manufacturing Engineering
684,23,3,1,Manufacturing Engineering
685,22,3,1,Craft Engineer Trainee
686,22,3,4,Manufacturing Engineering
687,29,2,4,Manufacturing Engineering
688,28,3,4,Engineering Management
689,37,2,5,Manufacturing Engineering
690,41,2,4,Facility Engineer
691,64,2,4,Maintenance Engineer
692,34,2,4,Manufacturing Engineering
693,63,2,6,Principal Asset Engineer
694,43,2,4,Facility Engineer
695,26,2,4,Manufacturing Engineering
696,35,2,3,Manufacturing Engineering
697,57,2,7,Engineering Management
698,51,2,3,Craft Engineer Specialist
699,46,2,5,Configuration Management
700,30,2,5,Facility Engineer
701,38,2,4,Manufacturing Engineering
702,23,2,2,Craft Engineer Practitioner
703,29,2,4,Manufacturing Engineering
704,55,2,5,Facility Engineer
705,35,2,4,Manufacturing Engineering
706,34,2,4,Manufacturing Engineering
707,49,2,6,Principal Asset Engineer
708,35,2,4,Maintenance Engineer
709,48,2,5,Facility Engineer
710,41,2,4,Facility Engineer
711,24,2,4,Manufacturing Engineering
712,68,2,5,Facility Engineer
713,58,2,5,Manufacturing Engineering
714,47,2,4,Manufacturing Engineering
715,22,2,4,Manufacturing Engineering
716,20,2,4,Manufacturing Engineering
717,23,2,4,Manufacturing Engineering
718,54,2,4,Facility Engineer
719,29,2,4,Manufacturing Engineering
720,67,2,2,Craft Engineer Practitioner
721,40,2,3,Craft Engineer Specialist
722,47,2,3,Maintenance Planner
723,20,2,4,Manufacturing Engineering
724,51,2,4,Manufacturing Engineering
725,31,2,5,Facility Engineer
726,69,2,5,Facility Engineer
727,39,2,4,Facility Engineer
728,21,2,4,Facility Engineer
729,25,2,4,Manufacturing Engineering
730,36,2,4,Manufacturing Engineering
731,52,2,5,Maintenance Engineer
732,61,2,4,Manufacturing Engineering
733,64,2,3,Craft Engineer Specialist
734,41,2,5,Manufacturing Engineering
735,53,2,4,Manufacturing Engineering
736,48,2,4,Facility Engineer
737,33,2,4,Maintenance Engineer
738,47,2,7,Manufacturing Engineering
739,50,2,6,Manufacturing Engineering
740,33,2,6,Principal Asset Engineer
741,30,2,3,Manufacturing Engineering
742,49,2,3,Craft Engineer Specialist
743,24,2,5,Manufacturing Engineering
744,21,2,1,Craft Engineer Trainee
745,54,2,5,Facility Engineer
746,34,2,1,Craft Engineer Trainee
747,24,1,1,Facility Engineer
748,34,2,5,Facility Engineer
749,58,2,4,Maintenance Engineer
750,30,2,1,Craft Engineer Trainee
